aws-ap-northeast-1,aws-ap-northeast-2,aws-ap-south-1,aws-ap-southeast-1,aws-ap-southeast-2,gcp-asia-northeast-1,gcp-asia-south-1,gcp-asia-southeast-1,gcp-asia-east-1,aws-eu-central-1,aws-eu-west-1,aws-eu-west-2,aws-eu-west-3,gcp-eu-west-1,gcp-eu-west-2,gcp-eu-west-3,gcp-eu-west-4,aws-northamerica-central-1,aws-us-east-1,aws-us-east-2,aws-us-west-1,aws-us-west-2,gcp-us-west-1,gcp-northamerica-northeast-1,gcp-us-central-1,gcp-us-east-1,gcp-us-east-4,aws-sa-east-1,gcp-sa-east-1
0,32,140,70,128,2,127,68,36,232,216,235,242,229,222,235,230,144,171,161,113,103,90,159,128,161,148,272,267
32,0,160,98,157,32,158,102,64,262,246,259,272,261,253,265,262,173,183,186,137,133,122,187,157,191,178,289,296
125,159,0,57,244,127,1,60,114,112,122,112,105,236,234,234,233,198,184,194,240,219,234,242,235,244,234,302,357
70,98,57,0,185,69,62,2,50,173,180,170,160,293,286,296,296,210,236,226,176,161,155,218,189,224,213,333,328
128,157,244,185,0,105,227,165,129,290,274,279,281,277,273,282,281,209,204,195,146,162,162,203,170,200,198,322,304
1,32,127,69,105,0,127,67,35,233,231,221,235,228,222,232,230,152,150,151,110,97,91,157,125,160,147,268,265
126,158,2,62,227,126,0,60,109,354,352,347,357,350,345,354,354,274,271,271,229,222,215,273,245,282,269,388,286
68,99,60,2,165,67,60,0,50,297,294,284,298,303,282,296,305,216,211,215,172,159,157,215,187,22,211,329,326
37,67,114,50,129,34,109,49,0,260,259,250,264,273,251,259,276,179,177,177,136,125,118,181,152,185,175,288,288
235,262,112,165,290,233,354,297,259,0,21,12,9,14,13,1,15,102,87,97,145,162,143,95,111,99,86,206,215
226,246,121,179,274,231,353,296,258,21,0,10,16,17,11,20,17,77,70,75,123,131,143,97,110,95,85,183,212
245,260,113,171,279,221,347,284,250,12,10,0,7,7,1,13,10,86,76,85,136,154,133,87,99,88,78,193,203
242,272,104,160,281,235,357,298,263,9,17,7,0,5,15,10,17,93,78,88,136,153,147,97,112,99,90,197,217
229,260,235,293,277,228,349,297,272,13,17,7,15,0,6,7,7,92,82,92,148,142,177,88,113,93,81,209,209
222,252,234,286,273,222,342,284,251,13,10,1,15,6,0,12,10,88,76,88,148,136,133,86,100,85,76,205,203
235,265,233,296,282,232,354,294,259,1,0,13,10,9,12,0,7,96,88,97,153,148,143,92,110,98,86,214,214
231,262,234,295,281,231,353,309,276,15,18,10,17,7,10,7,0,96,84,96,150,144,181,94,107,98,84,211,212
144,173,198,210,209,152,274,216,179,102,77,86,93,92,89,91,96,0,14,25,75,64,64,1,30,25,14,124,142
161,175,182,228,204,150,271,211,177,87,70,76,80,83,78,88,84,14,0,11,59,77,62,26,28,12,1,119,128
162,185,192,226,195,151,270,215,176,97,75,85,88,92,88,97,96,25,15,0,60,69,63,27,27,23,12,131,139
113,137,240,176,146,110,229,172,137,145,123,136,136,147,148,153,151,75,59,50,0,20,21,78,36,70,71,189,173
103,133,219,161,162,99,218,160,126,162,133,154,153,142,137,147,147,64,77,71,20,0,13,70,49,80,63,183,186
92,123,234,155,161,92,214,157,118,143,142,133,147,182,132,143,164,64,63,63,21,13,0,65,81,81,58,174,171
158,187,241,218,203,155,274,215,181,95,96,87,97,88,86,92,95,1,24,26,78,69,65,0,33,22,14,142,142
130,158,235,189,173,125,245,186,152,111,111,99,112,114,100,110,106,30,27,28,36,49,35,31,0,36,25,144,144
161,191,244,225,200,160,282,222,185,99,95,86,99,93,86,98,98,25,12,23,70,80,81,25,36,0,12,117,117
148,178,234,213,197,149,269,210,175,86,86,77,89,81,76,86,84,14,1,11,71,63,58,14,12,12,0,130,129
273,292,302,332,322,268,288,329,288,206,184,193,196,210,205,214,213,123,120,131,190,183,174,142,144,117,130,0,3
266,296,356,328,304,265,387,326,288,215,212,203,217,209,203,214,212,142,128,139,173,186,171,142,144,117,129,3,0
