aws-ap-northeast-1,aws-ap-northeast-2,aws-ap-south-1,aws-ap-southeast-1,aws-ap-southeast-2,gcp-asia-northeast-1,gcp-asia-south-1,gcp-asia-southeast-1,gcp-asia-east-1,aws-eu-central-1,aws-eu-west-1,aws-eu-west-2,aws-eu-west-3,gcp-eu-west-1,gcp-eu-west-2,gcp-eu-west-3,gcp-eu-west-4,aws-northamerica-central-1,aws-us-east-1,aws-us-east-2,aws-us-west-1,aws-us-west-2,gcp-us-west-1,gcp-northamerica-northeast-1,gcp-us-central-1,gcp-us-east-1,gcp-us-east-4,aws-sa-east-1,gcp-sa-east-1
0.01,0.09,0.09,0.09,0.09,0.14,0.11,0.11,0.11,0.02,0.02,0.02,0.02,0.11,0.11,0.11,0.11,0.02,0.02,0.02,0.02,0.02,0.11,0.11,0.11,0.11,0.11,0.138,0.11
0.09,0.01,0.09,0.09,0.09,0.14,0.11,0.11,0.11,0.02,0.02,0.02,0.02,0.11,0.11,0.11,0.11,0.02,0.02,0.02,0.02,0.02,0.11,0.11,0.11,0.11,0.11,0.138,0.11
0.09,0.09,0.01,0.09,0.09,0.14,0.11,0.11,0.11,0.02,0.02,0.02,0.02,0.11,0.11,0.11,0.11,0.02,0.02,0.02,0.02,0.02,0.11,0.11,0.11,0.11,0.11,0.138,0.11
0.09,0.09,0.09,0.01,0.09,0.14,0.11,0.11,0.11,0.02,0.02,0.02,0.02,0.11,0.11,0.11,0.11,0.02,0.02,0.02,0.02,0.02,0.11,0.11,0.11,0.11,0.11,0.138,0.11
0.09,0.09,0.09,0.09,0.01,0.18,0.18,0.18,0.18,0.02,0.02,0.02,0.02,0.18,0.18,0.18,0.18,0.02,0.02,0.02,0.02,0.02,0.18,0.18,0.18,0.18,0.18,0.138,0.18
0.114,0.114,0.1093,0.1093,0.1093,0.0,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.15,0.08
0.114,0.114,0.1093,0.1093,0.1093,0.08,0.0,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.15,0.08
0.114,0.114,0.1093,0.1093,0.1093,0.08,0.08,0.0,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.15,0.08
0.114,0.114,0.1093,0.1093,0.1093,0.08,0.08,0.08,0.0,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.15,0.08
0.09,0.09,0.09,0.09,0.09,0.14,0.11,0.11,0.11,0.01,0.02,0.02,0.02,0.11,0.11,0.11,0.11,0.02,0.02,0.02,0.02,0.02,0.11,0.11,0.11,0.11,0.11,0.138,0.11
