aws-ap-northeast-1,aws-ap-southeast-2,aws-eu-central-1,aws-eu-west-1,aws-eu-west-3,aws-northamerica-central-1,aws-sa-east-1,aws-us-west-1,gcp-asia-east-1,gcp-asia-south-1,gcp-asia-southeast-1,gcp-eu-west-1,gcp-eu-west-2,gcp-eu-west-3,gcp-eu-west-4,gcp-northamerica-northeast-1,gcp-sa-east-1,gcp-us-west-1
0,128,232,216,242,144,272,113,36,127,68,229,222,235,230,159,267,90
128,0,290,274,281,209,322,146,129,227,165,277,273,282,281,203,304,162
235,290,0,21,9,102,206,145,259,354,297,14,13,1,15,95,215,143
226,274,21,0,16,77,183,123,258,353,296,17,11,20,17,97,212,143
242,281,9,17,0,93,197,136,263,357,298,5,15,10,17,97,217,147
144,209,102,77,93,0,124,75,179,274,216,92,89,91,96,1,142,64
273,322,206,184,196,123,0,190,288,288,329,210,205,214,213,142,3,174
113,146,145,123,136,75,189,0,137,229,172,147,148,153,151,78,173,21
37,129,260,259,264,179,288,136,0,109,49,273,251,259,276,181,288,118
126,227,354,352,357,274,388,229,109,0,60,350,345,354,354,273,286,215
68,165,297,294,298,216,329,172,50,60,0,303,282,296,305,215,326,157
229,277,13,17,15,92,209,148,272,349,297,0,6,7,7,88,209,177
222,273,13,10,15,88,205,148,251,342,284,6,0,12,10,86,203,133
235,282,1,0,10,96,214,153,259,354,294,9,12,0,7,92,214,143
231,281,15,18,17,96,211,150,276,353,309,7,10,7,0,94,212,181
158,203,95,96,97,1,142,78,181,274,215,88,86,92,95,0,142,65
266,304,215,212,217,142,3,173,288,387,326,209,203,214,212,142,0,171
92,161,143,142,147,64,174,21,118,214,157,182,132,143,164,65,171,0
