aws-ap-northeast-1,aws-ap-northeast-2,aws-ap-south-1,aws-ap-southeast-1,aws-ap-southeast-2,aws-eu-central-1,aws-eu-west-1,aws-eu-west-2,aws-eu-west-3,aws-northamerica-central-1,aws-us-east-1,aws-us-east-2,aws-us-west-1,aws-us-west-2,aws-sa-east-1
0,32,140,70,128,232,216,235,242,144,171,161,113,103,272
32,0,160,98,157,262,246,259,272,173,183,186,137,133,289
125,159,0,57,244,112,122,112,105,198,184,194,240,219,302
70,98,57,0,185,173,180,170,160,210,236,226,176,161,333
128,157,244,185,0,290,274,279,281,209,204,195,146,162,322
235,262,112,165,290,0,21,12,9,102,87,97,145,162,206
226,246,121,179,274,21,0,10,16,77,70,75,123,131,183
245,260,113,171,279,12,10,0,7,86,76,85,136,154,193
242,272,104,160,281,9,17,7,0,93,78,88,136,153,197
144,173,198,210,209,102,77,86,93,0,14,25,75,64,124
161,175,182,228,204,87,70,76,80,14,0,11,59,77,119
162,185,192,226,195,97,75,85,88,25,15,0,60,69,131
113,137,240,176,146,145,123,136,136,75,59,50,0,20,189
103,133,219,161,162,162,133,154,153,64,77,71,20,0,183
273,292,302,332,322,206,184,193,196,123,120,131,190,183,0
