aws-ap-northeast-1,aws-ap-southeast-2,aws-eu-central-1,aws-eu-west-1,aws-eu-west-3,aws-northamerica-central-1,aws-sa-east-1,aws-us-west-1,gcp-asia-east-1,gcp-asia-south-1,gcp-asia-southeast-1,gcp-eu-west-1,gcp-eu-west-2,gcp-eu-west-3,gcp-eu-west-4,gcp-northamerica-northeast-1,gcp-sa-east-1,gcp-us-west-1
0.01,0.09,0.02,0.02,0.02,0.02,0.138,0.02,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.09,0.01,0.02,0.02,0.02,0.02,0.138,0.02,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
0.09,0.09,0.01,0.02,0.02,0.02,0.138,0.02,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.09,0.09,0.02,0.01,0.02,0.02,0.138,0.02,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.09,0.09,0.02,0.02,0.01,0.02,0.138,0.02,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.09,0.09,0.02,0.02,0.02,0.01,0.138,0.02,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.09,0.09,0.02,0.02,0.02,0.02,0.01,0.02,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.09,0.09,0.02,0.02,0.02,0.02,0.138,0.01,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
0.114,0.1093,0.09,0.09,0.09,0.09,0.15,0.09,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.114,0.1093,0.09,0.09,0.09,0.09,0.15,0.09,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.114,0.1093,0.09,0.09,0.09,0.09,0.15,0.09,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.114,0.1093,0.09,0.09,0.09,0.09,0.15,0.09,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08
0.114,0.1093,0.09,0.09,0.09,0.09,0.15,0.09,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08
0.114,0.1093,0.09,0.09,0.09,0.09,0.15,0.09,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08
0.114,0.1093,0.09,0.09,0.09,0.09,0.15,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08
0.114,0.1093,0.09,0.09,0.09,0.09,0.15,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08
0.114,0.1093,0.09,0.09,0.09,0.09,0.15,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.08
0.114,0.1093,0.09,0.09,0.09,0.09,0.15,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0
